,Composer,Composer life dates
980247,"Leguay, Jean-Pierre",1938-
980250,"Leguay, Jean-Pierre",1939-
312774,"Lehmann, Liza",1862-1918
313194,"Leigh, William Austen",
313898,"Lemare, Edwin H. (Edwin Henry)",1865-1934
895309,"Leonetti, Giovan Battista",active 1604-1617
315490,"Leoni, Leon",
316119,"Leslie, Henry",1822-1896
980858,"Lewis, Merwin",
65142,"Liceo Musicale, Bologna",
318924,"Lichfild, Henry",
319904,"Lieurance, Thurlow",
320891,"Lindner, Paul",
322043,"Linley, Thomas",1733-1795
322105,"Linley, Thomas",1756-1778
322764,"Lisley, John",
324212,"Little, Alfred E.",
324829,"Lloyd, Charles Harford",
325038,"Lloyd, John Morgan",
325143,"Loar, Lloyd",
325233,"Locatello, Giovanni Battista",
1036061,"Lott, Edwin M.",
329697,"Lotti, Antonio",-1740
331328,"Lucas, Charles",
331435,"Lucas, Leighton",1903-1982
982527,"Luisi, Francesco",
332410,"Lupacchino, Bernardino",
858728,"Lupo, Thomas",-1628
982732,"Lutyens, Elisabeth",1906-1983
332895,"Lutz, Meyer",1822-1903
912483,"Luzzaschi, Luzzasco",-1607
599564,"Luzzaschi, Luzzasco",
333072,"Luzzaschi, Luzzasco",1545?-1607
333624,"Lynes, Frank",
334083,"Lyttich, Johann",
768044,"MacArthur, Edwin",
334468,"Macburney, Mona",
334722,"Macclure, J. D.",
334748,"Maccollin, Frances",
335953,"Macfarlane, Will C. (Will Charles)",1870-1945
336075,"Macfarren, G. A. (George Alexander), Sir",1813-1887
336779,"Macfarren, Walter",1826-1905
337573,"Machell, E. M.",
339497,"Macpherson, S. (Stewart)",1865-1941
852030,"Macque, Giovanni de",approximately 1550-1614
339861,"Madrigali a notte negre, libro 1o (Scotto (Firm))",
339859,"Madrigali de diversi ecclentissimi autori, libro 2",
339869,Madrigals,
888643,Madrigals à 4.,
340074,"Magni, Benedetto",
340559,"Maier, Julius Josef",
272106,Maistre Jhan,approximately 1485-1538
341193,"Malin, Donald Franklin",1896-
341218,"Malipiero, Gian Francesco",1882-1973
879812,"Manara, Francesco",
983900,"Manenti, Giovan Piero",-1597
341918,"Manenti, Giovanni Piero",
341950,"Mangelsdorff, Arthur",
342153,"Mann, A. H. (Arthur Henry)",1850-1929
342687,"Mansfield, Purcell J. (Purcell James)",1889-1968
342936,"Marastoni, Antonio",
342945,"Marazzi, Silvio",
984063,"Marcello, Benedetto",1686-1739
343411,"Marchant, Arthur William",
907245,"Marenzio, Luca",1553-1599
344607,"Marini, Biagio",1597?-1665
345264,"Marotta, Erasmo",
346820,"Marsolo, Pietro Maria",
346822,"Marson, George",
346916,"Marti, Estéban",
347405,"Martin, George William",
984749,"Martinů, Bohuslav",1890-1959
349640,"Massaino, Tiburtio",approximately 1550-approximately 1609
349932,"Massenet, Jules",1842-1912
351790,"Maupeou, L.de",
351821,Maurice,
636420,"Mauro, Mattia",approximately 1545-1621
352056,"Maxson, Frederick",
353142,"Mayo, Giovanni Antonio di",
353790,"Mazzocchi, D. (Domenico)",1592-1665
911421,"McCabe, John",1939-2015
734706,"McCollin, Frances",
338576,"McKinney, Howard D. (Howard Decker)",1889-1980
1040707,"Mealor, Paul",1975-
354264,"Mee, John H. (John Henry)",1852-1918
354318,"Megli, Dominico Maria",
354612,"Meier, Bernhard",1923-1993
354619,"Meier, Helga",
354871,"Mel, Rinaldo del",
354948,"Melfio, Bastiano",
354949,"Melfio, Giovanni Battista",
355022,"Mellers, Wilfrid",1914-2008
985840,"Mendelssohn, Arnold",1855-1933
358489,"Menotti, Gian Carlo",1911-2007
160515,"Meredith, D. Margaret",
359496,"Merlo, Alessandro",
359548,"Merrill, Charles Henry",
882515,"Merulo, Claudio",1533-1604
359959,"Messager, André",1853-1929
360184,"Metallo, Grammatio",
628908,"Metzger, Ambrosius",1573-1632
362364,"Mezzogorri, Giovanni Nicolo",
362558,"Micheli, Domenico",
363031,"Migot, Georges",1891-1976
363201,"Milani, Francesco",
363464,"Milford, Robin",1903-1959
363854,"Milhaud, Darius",1892-1974
364433,"Miller, Charles Edward",
365734,"Milton, John",1608-1674
907602,"Milton, John",approximately 1563-1647
366033,"Minetti, Carlo",
366538,"Missa, Edmond",
384583,"Mi︠a︡skovskiĭ, N. (Nikolaĭ)",1881-1950
366856,"Modiana, Horatio",
366943,"Moeran, E. J. (Ernest John)",1894-1950
367266,"Moffat, Alfred",1866-1950
368322,"Mompellio, Federico",1908-1989
987741,"Monnikendam, Marius",
900040,"Monte, Philippe de",1521-1603
877881,"Montella, Giovan Domenico",approximately 1570-1607
369636,"Monteverdi, Claudio",1567-1643
802941,"Montgomery, Merle",
370029,"Montgomery, W. H. (William Henry)",1810-1886
371745,"Morata, Ginés de",
888644,More madrigals à 4.,
372854,"Morley, Thomas",1557-1603?
1036597,"Mornington, Garrett Colley Wellesley, Earl of",1735-1781
373269,"Morris, Haydn",1891-1965
898227,"Morton, Robert",-approximately 1475
374572,"Moseley, Caroline Carr",
601854,"Mosto, Giovanni Battista",
374725,"Mosto, Giovanni Battista",-1596
381318,"Mueller, J. G.",
381973,"Mullen, Frederic",
903288,"Mundy, John",-1630
318892,"Muse a 3 voci, libro 1",
581973,"Muse a 3 voci, libro 3",
383811,"Muse a 4 voci, libro 1",
383814,"Muse a 4 voci, libro 2",
383807,"Muse a 5 voci, libro 1",
383810,"Muse a5 voci, libro 3",
383937,"Musgrave, Thea",
415602,Musica divina (Phalèse),
595388,"Musica transalpina, Book 2",
28060,Musicale essercitio a cinque voci,
900054,"Musiche fatte nelle nozze dello illustrissimo Duca di Firenze, il Signor Cosimo de Medici",
899801,"Naich, Hubert",approximately 1513-
385160,"Nanino, Giovanni Bernardino",approximately 1560-1623
385173,"Nanino, Giovanni Maria",1543 or 1544-1607
991100,"Nascimbeni, Maria Francesca",1658-
385405,"Nasco, Giovanni",
869486,"Nasco, Jan",approximately 1510-1561
386068,"Naylor, Bernard",1907-1986
387574,"Nenna, Pomponio",approximately 1550-approximately 1613
991310,"Nenna, Pomponio",
387583,"Nenti, Vincenzo",
387712,"Netherclift, Joseph",
389409,"Neusidler, Melchior",1531-1590
388113,"Neustedt, Charles",1838-1908
